PING 133.11.11.11 (133.11.11.11) 56(84) bytes of data.
64 bytes from 133.11.11.11: icmp_seq=194 ttl=42 time=432 ms
64 bytes from 133.11.11.11: icmp_seq=195 ttl=42 time=660 ms
64 bytes from 133.11.11.11: icmp_seq=196 ttl=42 time=581 ms
64 bytes from 133.11.11.11: icmp_seq=197 ttl=42 time=606 ms
64 bytes from 133.11.11.11: icmp_seq=198 ttl=42 time=732 ms
64 bytes from 133.11.11.11: icmp_seq=199 ttl=42 time=653 ms
64 bytes from 133.11.11.11: icmp_seq=200 ttl=42 time=472 ms
64 bytes from 133.11.11.11: icmp_seq=201 ttl=42 time=393 ms
64 bytes from 133.11.11.11: icmp_seq=202 ttl=42 time=416 ms
64 bytes from 133.11.11.11: icmp_seq=203 ttl=42 time=339 ms
64 bytes from 133.11.11.11: icmp_seq=204 ttl=42 time=361 ms
64 bytes from 133.11.11.11: icmp_seq=205 ttl=42 time=384 ms
64 bytes from 133.11.11.11: icmp_seq=206 ttl=42 time=360 ms
64 bytes from 133.11.11.11: icmp_seq=207 ttl=42 time=532 ms
64 bytes from 133.11.11.11: icmp_seq=208 ttl=42 time=556 ms
64 bytes from 133.11.11.11: icmp_seq=209 ttl=42 time=582 ms
64 bytes from 133.11.11.11: icmp_seq=210 ttl=42 time=401 ms
64 bytes from 133.11.11.11: icmp_seq=211 ttl=42 time=629 ms
64 bytes from 133.11.11.11: icmp_seq=212 ttl=42 time=345 ms
64 bytes from 133.11.11.11: icmp_seq=213 ttl=42 time=471 ms
64 bytes from 133.11.11.11: icmp_seq=214 ttl=42 time=393 ms
64 bytes from 133.11.11.11: icmp_seq=215 ttl=42 time=313 ms
64 bytes from 133.11.11.11: icmp_seq=216 ttl=42 time=543 ms
64 bytes from 133.11.11.11: icmp_seq=217 ttl=42 time=361 ms
64 bytes from 133.11.11.11: icmp_seq=218 ttl=42 time=391 ms
64 bytes from 133.11.11.11: icmp_seq=219 ttl=42 time=307 ms
64 bytes from 133.11.11.11: icmp_seq=220 ttl=42 time=433 ms
64 bytes from 133.11.11.11: icmp_seq=221 ttl=42 time=457 ms
64 bytes from 133.11.11.11: icmp_seq=222 ttl=42 time=481 ms
64 bytes from 133.11.11.11: icmp_seq=223 ttl=42 time=503 ms
64 bytes from 133.11.11.11: icmp_seq=224 ttl=42 time=528 ms
64 bytes from 133.11.11.11: icmp_seq=225 ttl=42 time=449 ms
64 bytes from 133.11.11.11: icmp_seq=226 ttl=42 time=576 ms
64 bytes from 133.11.11.11: icmp_seq=227 ttl=42 time=599 ms
64 bytes from 133.11.11.11: icmp_seq=228 ttl=42 time=419 ms
64 bytes from 133.11.11.11: icmp_seq=229 ttl=42 time=442 ms
64 bytes from 133.11.11.11: icmp_seq=230 ttl=42 time=365 ms
64 bytes from 133.11.11.11: icmp_seq=231 ttl=42 time=539 ms
64 bytes from 133.11.11.11: icmp_seq=232 ttl=42 time=411 ms
64 bytes from 133.11.11.11: icmp_seq=233 ttl=42 time=537 ms
64 bytes from 133.11.11.11: icmp_seq=234 ttl=42 time=356 ms
64 bytes from 133.11.11.11: icmp_seq=235 ttl=42 time=585 ms
64 bytes from 133.11.11.11: icmp_seq=236 ttl=42 time=403 ms
64 bytes from 133.11.11.11: icmp_seq=237 ttl=42 time=427 ms
64 bytes from 133.11.11.11: icmp_seq=238 ttl=42 time=451 ms
64 bytes from 133.11.11.11: icmp_seq=239 ttl=42 time=475 ms
64 bytes from 133.11.11.11: icmp_seq=240 ttl=42 time=497 ms
64 bytes from 133.11.11.11: icmp_seq=241 ttl=42 time=540 ms
64 bytes from 133.11.11.11: icmp_seq=242 ttl=42 time=616 ms
64 bytes from 133.11.11.11: icmp_seq=243 ttl=42 time=378 ms
64 bytes from 133.11.11.11: icmp_seq=244 ttl=42 time=525 ms
64 bytes from 133.11.11.11: icmp_seq=245 ttl=42 time=569 ms
64 bytes from 133.11.11.11: icmp_seq=246 ttl=42 time=847 ms
64 bytes from 133.11.11.11: icmp_seq=247 ttl=42 time=665 ms
64 bytes from 133.11.11.11: icmp_seq=248 ttl=42 time=689 ms
64 bytes from 133.11.11.11: icmp_seq=249 ttl=42 time=509 ms
64 bytes from 133.11.11.11: icmp_seq=250 ttl=42 time=738 ms
64 bytes from 133.11.11.11: icmp_seq=251 ttl=42 time=555 ms
64 bytes from 133.11.11.11: icmp_seq=252 ttl=42 time=581 ms
64 bytes from 133.11.11.11: icmp_seq=253 ttl=42 time=604 ms
64 bytes from 133.11.11.11: icmp_seq=254 ttl=42 time=626 ms
64 bytes from 133.11.11.11: icmp_seq=255 ttl=42 time=447 ms
64 bytes from 133.11.11.11: icmp_seq=256 ttl=42 time=369 ms
64 bytes from 133.11.11.11: icmp_seq=257 ttl=42 time=391 ms
64 bytes from 133.11.11.11: icmp_seq=258 ttl=42 time=403 ms
64 bytes from 133.11.11.11: icmp_seq=259 ttl=42 time=541 ms
64 bytes from 133.11.11.11: icmp_seq=260 ttl=42 time=564 ms
64 bytes from 133.11.11.11: icmp_seq=261 ttl=42 time=588 ms
64 bytes from 133.11.11.11: icmp_seq=262 ttl=42 time=612 ms
64 bytes from 133.11.11.11: icmp_seq=263 ttl=42 time=636 ms
64 bytes from 133.11.11.11: icmp_seq=264 ttl=42 time=557 ms
64 bytes from 133.11.11.11: icmp_seq=265 ttl=42 time=280 ms
64 bytes from 133.11.11.11: icmp_seq=266 ttl=42 time=353 ms
64 bytes from 133.11.11.11: icmp_seq=267 ttl=42 time=628 ms
64 bytes from 133.11.11.11: icmp_seq=268 ttl=42 time=652 ms
64 bytes from 133.11.11.11: icmp_seq=269 ttl=42 time=573 ms
64 bytes from 133.11.11.11: icmp_seq=270 ttl=42 time=598 ms
64 bytes from 133.11.11.11: icmp_seq=271 ttl=42 time=565 ms
64 bytes from 133.11.11.11: icmp_seq=272 ttl=42 time=664 ms
64 bytes from 133.11.11.11: icmp_seq=273 ttl=42 time=464 ms
64 bytes from 133.11.11.11: icmp_seq=274 ttl=42 time=474 ms
64 bytes from 133.11.11.11: icmp_seq=275 ttl=42 time=510 ms
64 bytes from 133.11.11.11: icmp_seq=276 ttl=42 time=432 ms
64 bytes from 133.11.11.11: icmp_seq=277 ttl=42 time=557 ms
64 bytes from 133.11.11.11: icmp_seq=278 ttl=42 time=374 ms
64 bytes from 133.11.11.11: icmp_seq=279 ttl=42 time=297 ms
64 bytes from 133.11.11.11: icmp_seq=280 ttl=42 time=316 ms
64 bytes from 133.11.11.11: icmp_seq=281 ttl=42 time=344 ms
64 bytes from 133.11.11.11: icmp_seq=282 ttl=42 time=368 ms
64 bytes from 133.11.11.11: icmp_seq=283 ttl=42 time=391 ms
64 bytes from 133.11.11.11: icmp_seq=284 ttl=42 time=517 ms
64 bytes from 133.11.11.11: icmp_seq=285 ttl=42 time=473 ms
64 bytes from 133.11.11.11: icmp_seq=286 ttl=42 time=511 ms
64 bytes from 133.11.11.11: icmp_seq=287 ttl=42 time=485 ms
64 bytes from 133.11.11.11: icmp_seq=288 ttl=42 time=382 ms
64 bytes from 133.11.11.11: icmp_seq=289 ttl=42 time=328 ms
64 bytes from 133.11.11.11: icmp_seq=290 ttl=42 time=399 ms
64 bytes from 133.11.11.11: icmp_seq=291 ttl=42 time=326 ms
