PING 130.149.17.21 (130.149.17.21) 56(84) bytes of data.
64 bytes from 130.149.17.21: icmp_seq=126 ttl=43 time=369 ms
64 bytes from 130.149.17.21: icmp_seq=127 ttl=43 time=290 ms
64 bytes from 130.149.17.21: icmp_seq=128 ttl=43 time=311 ms
64 bytes from 130.149.17.21: icmp_seq=129 ttl=43 time=336 ms
64 bytes from 130.149.17.21: icmp_seq=130 ttl=43 time=257 ms
64 bytes from 130.149.17.21: icmp_seq=131 ttl=43 time=279 ms
64 bytes from 130.149.17.21: icmp_seq=132 ttl=43 time=201 ms
64 bytes from 130.149.17.21: icmp_seq=133 ttl=43 time=327 ms
64 bytes from 130.149.17.21: icmp_seq=134 ttl=43 time=452 ms
64 bytes from 130.149.17.21: icmp_seq=135 ttl=43 time=297 ms
64 bytes from 130.149.17.21: icmp_seq=136 ttl=43 time=198 ms
64 bytes from 130.149.17.21: icmp_seq=137 ttl=43 time=177 ms
64 bytes from 130.149.17.21: icmp_seq=138 ttl=43 time=240 ms
64 bytes from 130.149.17.21: icmp_seq=139 ttl=43 time=264 ms
64 bytes from 130.149.17.21: icmp_seq=140 ttl=43 time=286 ms
64 bytes from 130.149.17.21: icmp_seq=141 ttl=43 time=308 ms
64 bytes from 130.149.17.21: icmp_seq=142 ttl=43 time=332 ms
64 bytes from 130.149.17.21: icmp_seq=143 ttl=43 time=254 ms
64 bytes from 130.149.17.21: icmp_seq=144 ttl=43 time=279 ms
64 bytes from 130.149.17.21: icmp_seq=145 ttl=43 time=198 ms
64 bytes from 130.149.17.21: icmp_seq=146 ttl=43 time=324 ms
64 bytes from 130.149.17.21: icmp_seq=147 ttl=43 time=177 ms
64 bytes from 130.149.17.21: icmp_seq=148 ttl=43 time=372 ms
64 bytes from 130.149.17.21: icmp_seq=149 ttl=43 time=293 ms
64 bytes from 130.149.17.21: icmp_seq=150 ttl=43 time=213 ms
64 bytes from 130.149.17.21: icmp_seq=151 ttl=43 time=237 ms
64 bytes from 130.149.17.21: icmp_seq=152 ttl=43 time=260 ms
64 bytes from 130.149.17.21: icmp_seq=153 ttl=43 time=285 ms
64 bytes from 130.149.17.21: icmp_seq=154 ttl=43 time=262 ms
64 bytes from 130.149.17.21: icmp_seq=155 ttl=43 time=302 ms
64 bytes from 130.149.17.21: icmp_seq=156 ttl=43 time=353 ms
64 bytes from 130.149.17.21: icmp_seq=157 ttl=43 time=316 ms
64 bytes from 130.149.17.21: icmp_seq=158 ttl=43 time=337 ms
64 bytes from 130.149.17.21: icmp_seq=159 ttl=43 time=323 ms
64 bytes from 130.149.17.21: icmp_seq=160 ttl=43 time=243 ms
64 bytes from 130.149.17.21: icmp_seq=161 ttl=43 time=267 ms
64 bytes from 130.149.17.21: icmp_seq=162 ttl=43 time=241 ms
64 bytes from 130.149.17.21: icmp_seq=163 ttl=43 time=519 ms
64 bytes from 130.149.17.21: icmp_seq=164 ttl=43 time=543 ms
64 bytes from 130.149.17.21: icmp_seq=165 ttl=43 time=259 ms
64 bytes from 130.149.17.21: icmp_seq=166 ttl=43 time=386 ms
64 bytes from 130.149.17.21: icmp_seq=167 ttl=43 time=203 ms
64 bytes from 130.149.17.21: icmp_seq=168 ttl=43 time=329 ms
